32
1085.08	-459.26
1085.19	-459.40
1085.29	-460.03
1085.39	-459.92
1085.49	-460.18
1085.59	-460.07
1085.69	-459.87
1085.79	-459.92
1085.89	-459.68
1086.00	-459.34
1086.10	-459.38
1086.20	-459.31
1086.30	-459.59
1086.40	-459.76
1086.50	-460.17
1086.60	-460.41
1086.70	-460.39
1086.80	-460.62
1086.91	-460.49
1087.01	-460.17
1087.11	-460.01
1087.21	-459.91
1087.31	-459.86
1087.41	-459.57
1087.51	-459.19
1087.61	-458.88
1087.71	-458.79
1087.82	-458.75
1087.92	-459.06
1088.02	-459.21
1088.12	-459.40
1088.22	-459.43
1088.32	-459.91
1088.42	-459.76
1088.52	-460.12
1088.63	-459.72
1088.73	-459.38
1088.83	-459.26
1088.93	-458.90
1089.03	-458.40
1089.13	-458.33
1089.23	-458.37
1089.33	-458.35
1089.43	-458.33
1089.54	-458.41
1089.64	-458.49
1089.74	-458.57
1089.84	-458.69
1089.94	-458.61
1090.04	-458.88
1090.14	-459.18
1090.24	-459.22
1090.34	-459.26
1090.45	-459.10
1090.55	-459.04
1090.65	-458.69
1090.75	-458.71
1090.85	-458.52
1090.95	-458.55
1091.05	-458.62
1091.15	-458.79
1091.26	-458.60
1091.36	-455.57
